Emp_ID,Current_Avg_Level,LAST_Avg_Level,Avg_Time
12023,0.09,0.95,4
12031,0.09,0.62,4
12045,0.09,0.89,4
12072,0.09,0.77,4
12074,0.09,0.87,4
12095,0.09,0.83,4
12104,0.09,0.94,4
12112,0.09,0.85,4
12129,0.09,0.82,4
12141,0.09,0.96,4
12187,0.09,0.85,4
12191,0.09,0.8,5
12194,0.09,0.82,4
12196,0.09,0.8,4
12274,0.09,0.96,4
12279,0.09,0.78,4
12333,0.09,0.98,4
12341,0.09,0.89,5
12351,0.09,0.8,5
12360,0.09,0.91,4
12398,0.09,0.79,5
12408,0.09,0.94,4
12421,0.09,0.96,4
12446,0.09,0.94,5
12455,0.09,0.97,4
12468,0.09,0.95,4
12478,0.09,0.79,4
12513,0.09,0.96,4
12518,0.09,0.86,4
12528,0.09,0.9,4
12529,0.09,0.8,5
12561,0.09,0.86,4
12596,0.09,0.87,4
12611,0.09,0.95,4
12615,0.09,0.9,4
12652,0.09,0.88,4
12653,0.09,0.77,4
12688,0.09,0.92,4
12689,0.09,0.82,4
12730,0.09,0.83,4
12762,0.09,0.93,4
12766,0.09,0.87,2
14234,0.09,0.95,4
14242,0.09,0.62,4
14256,0.09,0.89,4
14283,0.09,0.77,4
14285,0.09,0.87,4
14306,0.09,0.83,4
14315,0.09,0.94,4
14323,0.09,0.85,4
14340,0.09,0.82,4
14352,0.09,0.96,4
14398,0.09,0.85,4
14402,0.09,0.8,5
14405,0.09,0.82,4
14407,0.09,0.8,4
14485,0.09,0.96,4
14490,0.09,0.78,4
14544,0.09,0.98,4
14552,0.09,0.89,5
14562,0.09,0.8,5
14571,0.09,0.91,4
14609,0.09,0.79,5
14619,0.09,0.94,4
14632,0.09,0.96,4
14657,0.09,0.94,5
14666,0.09,0.97,4
14679,0.09,0.95,4
14689,0.09,0.79,4
14724,0.09,0.96,4
14729,0.09,0.86,4
14739,0.09,0.9,4
14740,0.09,0.8,5
14772,0.09,0.86,4
14807,0.09,0.87,4
14822,0.09,0.95,4
14826,0.09,0.9,4
14863,0.09,0.88,4
14864,0.09,0.77,4
14884,0.09,0.84,4
14910,0.09,0.93,4
14919,0.09,0.89,4
14964,0.09,0.95,4
14980,0.09,0.93,4
14992,0.09,0.81,4
23,0.09,0.95,4
